Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,,,,,,
F14,FALSE,Bv_pel_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F15,FALSE,Bv_pel_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F16,FALSE,Bv+P_pel_1_T24,Target 1,Unknown,SYBR,20.690266,0,,Amp,FALSE,0,0,,,,,,
F17,FALSE,Bv+P_pel_2_T24,Target 1,Unknown,SYBR,20.22044,0,,Amp,FALSE,0,0,,,,,,
F18,FALSE,Bv+P_pel_3_T24,Target 1,Unknown,SYBR,19.418211,0,,Amp,FALSE,0,0,,,,,,
F19,FALSE,Bd_pel_1_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F20,FALSE,Bd_pel_2_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F21,FALSE,Bd_pel_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
F22,FALSE,Bd+P_pel_1_T24,Target 1,Unknown,SYBR,20.560123,0,,Amp,FALSE,0,0,,,,,,
F23,FALSE,Bd+P_pel_2_T24,Target 1,Unknown,SYBR,21.64378,0,,Amp,FALSE,0,0,,,,,,
F24,FALSE,Bd+P_pel_3_T24,Target 1,Unknown,SYBR,21.417006,0,,Amp,FALSE,0,0,,,,,,
G1,FALSE,Bd+P_sup_v_pel_1_T44,Target 1,Unknown,SYBR,17.214529,0,,Amp,FALSE,0,0,,,,,,
G2,FALSE,Bd+P_sup_v_pel_2_T44,Target 1,Unknown,SYBR,17.161634,0,,Amp,FALSE,0,0,,,,,,
G3,FALSE,Bd+P_sup_v_pel_3_T44,Target 1,Unknown,SYBR,22.15701,0,,Amp,FALSE,0,0,,,,,,
G4,FALSE,std_-2,Target 1,Unknown,SYBR,9.117578,0.9591353005169630,,Amp,FALSE,0,0,,,,,,
G5,FALSE,std_-3,Target 1,Unknown,SYBR,11.227551,0.9817817634468250,,Amp,FALSE,0,0,,,,,,
G6,FALSE,std_-4,Target 1,Unknown,SYBR,15.807947,0.9814399871856690,,Amp,FALSE,0,0,,,,,,
G7,FALSE,std_-5,Target 1,Unknown,SYBR,21.202581,0.9885812005387540,,Amp,FALSE,0,0,,,,,,
G8,FALSE,std_-6,Target 1,Unknown,SYBR,23.157084,0.992937768170643,,Amp,FALSE,0,0,,,,,,
G9,FALSE,std_-7,Target 1,Unknown,SYBR,24.36504,0.9918734501869150,,Amp,FALSE,0,0,,,,,,
G10,FALSE,std_-8,Target 1,Unknown,SYBR,34.093403,0.9863201842025580,,Amp,FALSE,0,0,,,,,,
G11,FALSE,std_-9,Target 1,Unknown,SYBR,35.681557,0.9814124831790670,,Amp,FALSE,0,0,,,,,,
G12,FALSE,water,Target 1,Unknown,SYBR,35.695747,0.8140340745676790,,Amp,FALSE,0,0,,,,,,
G13,FALSE,Bv_sup_1_T24,Target 1,Unknown,SYBR,34.798885,0.975562525566806,,Amp,FALSE,0,0,,,,,,
G14,FALSE,Bv_sup_2_T24,Target 1,Unknown,SYBR,34.250385,0.9587701951867530,,Amp,FALSE,0,0,,,,,,
G15,FALSE,Bv_sup_3_T24,Target 1,Unknown,SYBR,33.85815,0.9849082614733270,,Amp,FALSE,0,0,,,,,,
G16,FALSE,Bv+P_sup_1_T24,Target 1,Unknown,SYBR,28.576061,0.9819388608221010,,Amp,FALSE,0,0,,,,,,
G17,FALSE,Bv+P_sup_2_T24,Target 1,Unknown,SYBR,28.442587,0.9896307340186060,,Amp,FALSE,0,0,,,,,,
G18,FALSE,Bv+P_sup_3_T24,Target 1,Unknown,SYBR,28.800863,0.9247681205649920,,Amp,FALSE,0,0,,,,,,
G19,FALSE,Bd_sup_1_T24,Target 1,Unknown,SYBR,35.74045,0.9627204759842620,,Amp,FALSE,0,0,,,,,,
G20,FALSE,Bd_sup_2_T24,Target 1,Unknown,SYBR,37.944542,0.9316600665467690,,Inconclusive,FALSE,0,0,,,,,,
G21,FALSE,Bd_sup_3_T24,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
G22,FALSE,Bd+P_sup_1_T24,Target 1,Unknown,SYBR,27.372007,0.9857838337012130,,Amp,FALSE,0,0,,,,,,
G23,FALSE,Bd+P_sup_2_T24,Target 1,Unknown,SYBR,27.620771,0.9898086909035750,,Amp,FALSE,0,0,,,,,,
G24,FALSE,Bd+P_sup_3_T24,Target 1,Unknown,SYBR,27.560728,0.9840350564424180,,Amp,FALSE,0,0,,,,,,
H1,FALSE,Bd+P_sup_v_pel_1_T44,Target 1,Unknown,SYBR,15.483095,0,,Amp,FALSE,0,0,,,,,,
H2,FALSE,Bd+P_sup_v_pel_2_T44,Target 1,Unknown,SYBR,16.465881,0,,Amp,FALSE,0,0,,,,,,
H3,FALSE,Bd+P_sup_v_pel_3_T44,Target 1,Unknown,SYBR,16.367079,0,,Amp,FALSE,0,0,,,,,,
H4,FALSE,std_-2,Target 1,Unknown,SYBR,9.009576,0.9853344996231570,,Amp,FALSE,0,0,,,,,,
H5,FALSE,std_-3,Target 1,Unknown,SYBR,12.110843,0.9773058774895210,,Amp,FALSE,0,0,,,,,,
H6,FALSE,std_-4,Target 1,Unknown,SYBR,16.953775,0.9854732635556080,,Amp,FALSE,0,0,,,,,,
H7,FALSE,std_-5,Target 1,Unknown,SYBR,21.14121,0.9927582397649350,,Amp,FALSE,0,0,,,,,,
H8,FALSE,std_-6,Target 1,Unknown,SYBR,19.82888,0.9804049176035360,,Amp,FALSE,0,0,,,,,,
H9,FALSE,std_-7,Target 1,Unknown,SYBR,26.910528,0.9905304611794620,,Amp,FALSE,0,0,,,,,,
H10,FALSE,std_-8,Target 1,Unknown,SYBR,32.378567,0.9910598146194660,,Amp,FALSE,0,0,,,,,,
H11,FALSE,std_-9,Target 1,Unknown,SYBR,Undetermined,0,,No Amp,FALSE,0,0,,,,,,
H12,FALSE,water,Target 1,Unknown,SYBR,33.7432,0.9863420518406740,,Amp,FALSE,0,0,,,,,,
H13,FALSE,Bv_sup_1_T24,Target 1,Unknown,SYBR,35.55412,0.972175890919138,,Amp,FALSE,0,0,,,,,,
H14,FALSE,Bv_sup_2_T24,Target 1,Unknown,SYBR,37.53903,0.9520079327749620,,Inconclusive,FALSE,0,0,,,,,,
H15,FALSE,Bv_sup_3_T24,Target 1,Unknown,SYBR,36.694763,0.9627324712017730,,Amp,FALSE,0,0,,,,,,
H16,FALSE,Bv+P_sup_1_T24,Target 1,Unknown,SYBR,28.200447,0.9936802703481260,,Amp,FALSE,0,0,,,,,,
H17,FALSE,Bv+P_sup_2_T24,Target 1,Unknown,SYBR,28.543507,0.9940723521436430,,Amp,FALSE,0,0,,,,,,
H18,FALSE,Bv+P_sup_3_T24,Target 1,Unknown,SYBR,28.192785,0.9854719147923110,,Amp,FALSE,0,0,,,,,,
H19,FALSE,Bd_sup_1_T24,Target 1,Unknown,SYBR,35.306843,0.967059051444709,,Amp,FALSE,0,0,,,,,,
H20,FALSE,Bd_sup_2_T24,Target 1,Unknown,SYBR,35.45836,0.9626787498672550,,Amp,FALSE,0,0,,,,,,
H21,FALSE,Bd_sup_3_T24,Target 1,Unknown,SYBR,33.726234,0.9837461875026030,,Amp,FALSE,0,0,,,,,,
H22,FALSE,Bd+P_sup_1_T24,Target 1,Unknown,SYBR,27.475372,0.9896940520484290,,Amp,FALSE,0,0,,,,,,
H23,FALSE,Bd+P_sup_2_T24,Target 1,Unknown,SYBR,27.395836,0.9859783079857710,,Amp,FALSE,0,0,,,,,,
H24,FALSE,Bd+P_sup_3_T24,Target 1,Unknown,SYBR,27.403263,0.987836544796673,,Amp,FALSE,0,0,,,,,,
I1,FALSE,Bv+P_nanopore_1_T44,Target 1,Unknown,SYBR,25.351921,0.4545776605055170,,Amp,FALSE,0,0,,,,,,
I2,FALSE,Bv+P_nanopore_2_T44,Target 1,Unknown,SYBR,22.691273,0,,Amp,FALSE,0,0,,,,,,
I3,FALSE,Bv+P_nanopore_3_T44,Target 1,Unknown,SYBR,23.078827,0,,Amp,FALSE,0,0,,,,,,
I4,FALSE,Bv+P_nanopore_4_T44,Target 1,Unknown,SYBR,21.530294,0,,Amp,FALSE,0,0,,,,,,
I5,FALSE,Bv+P_nanopore_5_T44,Target 1,Unknown,SYBR,24.691416,0.18669874075127500,,Amp,FALSE,0,0,,,,,,
I6,FALSE,Bv+P_nanopore_6_T44,Target 1,Unknown,SYBR,24.641417,0.17301756788180000,,Amp,FALSE,0,0,,,,,,
I7,FALSE,Bv+P_nanopore_7_T44,Target 1,Unknown,SYBR,21.859081,0,,Amp,FALSE,0,0,,,,,,
I8,FALSE,Bv+P_nanopore_8_T44,Target 1,Unknown,SYBR,24.973234,0.21366728242969500,,Amp,FALSE,0,0,,,,,,
I9,FALSE,Bv+P_nanopore_9_T44,Target 1,Unknown,SYBR,21.494604,0,,Amp,FALSE,0,0,,,,,,
I10,FALSE,Bv+P_nanopore_10_T44,Target 1,Unknown,SYBR,23.073256,0,,Amp,FALSE,0,0,,,,,,
